record_id,corpus_index,representation_class,generator_shape,n,transformation,transformation_class,contract,contract_class,subset_size_m,n_subsets_at_m,zero_count_at_m,minimal_k,irreducible
case_0078,81,R1,random,5,T3_normalize,elementwise,P8_composite,noncancelling,3,10,0,1,False
case_0079,81,R1,random,5,T3_normalize,elementwise,P8_composite,noncancelling,4,5,0,1,False
case_0080,82,R3,same_value_diff_source,3,T3_normalize,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0081,86,R2,repeat,4,T3_normalize,elementwise,P9_balance,cancelling,2,6,6,1,False
case_0082,86,R2,repeat,4,T3_normalize,elementwise,P9_balance,cancelling,3,4,4,1,False
case_0083,91,R3,repeat,3,T2_dedup,relational,P6_scope,noncancelling,2,3,3,1,False
case_0084,92,R2,random,4,T5_reference,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0085,92,R2,random,4,T5_reference,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0086,97,R3,alternating,3,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0087,102,R3,random,5,T6_meta_preserving,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0088,102,R3,random,5,T6_meta_preserving,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0089,102,R3,random,5,T6_meta_preserving,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0090,103,R3,same_value_diff_source,3,T6_meta_preserving,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0091,105,R2,nested,5,T3_normalize,elementwise,P8_composite,noncancelling,2,10,0,1,False
case_0092,105,R2,nested,5,T3_normalize,elementwise,P8_composite,noncancelling,3,10,0,1,False
case_0093,105,R2,nested,5,T3_normalize,elementwise,P8_composite,noncancelling,4,5,0,1,False
case_0094,106,R2,alternating,3,T2_dedup,relational,P1_result,noncancelling,2,3,0,1,False
case_0095,110,R4,same_value_diff_source,3,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0096,112,R4,random,4,T6_meta_preserving,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0097,112,R4,random,4,T6_meta_preserving,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0098,113,R2,overlap,4,T6_meta_preserving,elementwise,P9_balance,cancelling,2,6,6,1,False
case_0099,113,R2,overlap,4,T6_meta_preserving,elementwise,P9_balance,cancelling,3,4,4,1,False
case_0100,118,R1,random,6,T8_interacting,relational,P7_contradiction,noncancelling,2,15,3,1,False
case_0101,118,R1,random,6,T8_interacting,relational,P7_contradiction,noncancelling,3,20,1,1,False
case_0102,118,R1,random,6,T8_interacting,relational,P7_contradiction,noncancelling,4,15,0,1,False
case_0103,118,R1,random,6,T8_interacting,relational,P7_contradiction,noncancelling,5,6,0,1,False
case_0104,120,R4,nested,5,T5_reference,elementwise,P5_uncertainty,noncancelling,2,10,3,1,False
case_0105,120,R4,nested,5,T5_reference,elementwise,P5_uncertainty,noncancelling,3,10,1,1,False
case_0106,120,R4,nested,5,T5_reference,elementwise,P5_uncertainty,noncancelling,4,5,0,1,False
case_0107,122,R3,alternating,3,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0108,123,R2,alternating,3,T2_dedup,relational,P9_balance,cancelling,2,3,3,1,False
case_0109,124,R3,nested,5,T4_context,relational,P6_scope,noncancelling,2,10,0,1,False
case_0110,124,R3,nested,5,T4_context,relational,P6_scope,noncancelling,3,10,0,1,False
case_0111,124,R3,nested,5,T4_context,relational,P6_scope,noncancelling,4,5,0,1,False
case_0112,130,R1,nested,5,T2_dedup,relational,P9_balance,cancelling,2,10,10,1,False
case_0113,130,R1,nested,5,T2_dedup,relational,P9_balance,cancelling,3,10,10,1,False
case_0114,130,R1,nested,5,T2_dedup,relational,P9_balance,cancelling,4,5,5,1,False
case_0115,131,R1,repeat,3,T4_context,relational,P1_result,noncancelling,2,3,3,1,False
case_0116,132,R4,random,5,T8_interacting,relational,P3_required,noncancelling,2,10,0,1,False
case_0117,132,R4,random,5,T8_interacting,relational,P3_required,noncancelling,3,10,0,1,False
case_0118,132,R4,random,5,T8_interacting,relational,P3_required,noncancelling,4,5,0,1,False
case_0119,135,R1,nested,5,T3_normalize,elementwise,P9_balance,cancelling,2,10,10,1,False
case_0120,135,R1,nested,5,T3_normalize,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0121,135,R1,nested,5,T3_normalize,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0122,137,R2,overlap,4,T8_interacting,relational,P4_provenance,noncancelling,2,6,3,1,False
case_0123,137,R2,overlap,4,T8_interacting,relational,P4_provenance,noncancelling,3,4,1,1,False
case_0124,141,R4,random,6,T5_reference,elementwise,P8_composite,noncancelling,2,15,1,1,False
case_0125,141,R4,random,6,T5_reference,elementwise,P8_composite,noncancelling,3,20,0,1,False
case_0126,141,R4,random,6,T5_reference,elementwise,P8_composite,noncancelling,4,15,0,1,False
case_0127,141,R4,random,6,T5_reference,elementwise,P8_composite,noncancelling,5,6,0,1,False
case_0128,142,R1,alternating,5,T3_normalize,elementwise,P7_contradiction,noncancelling,2,10,0,1,False
case_0129,142,R1,alternating,5,T3_normalize,elementwise,P7_contradiction,noncancelling,3,10,0,1,False
case_0130,142,R1,alternating,5,T3_normalize,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0131,144,R4,same_value_diff_source,3,T2_dedup,relational,P5_uncertainty,noncancelling,2,3,3,1,False
case_0132,145,R4,random,4,T6_meta_preserving,elementwise,P9_balance,cancelling,2,6,2,1,False
case_0133,145,R4,random,4,T6_meta_preserving,elementwise,P9_balance,cancelling,3,4,2,1,False
case_0134,147,R1,same_value_diff_source,3,T4_context,relational,P4_provenance,noncancelling,2,3,1,1,False
case_0135,149,R3,overlap,4,T6_meta_preserving,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0136,149,R3,overlap,4,T6_meta_preserving,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0137,151,R2,alternating,4,T1_stopword,elementwise,P3_required,noncancelling,2,6,6,1,False
case_0138,151,R2,alternating,4,T1_stopword,elementwise,P3_required,noncancelling,3,4,4,1,False
case_0139,158,R4,overlap,4,T5_reference,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0140,158,R4,overlap,4,T5_reference,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0141,159,R3,overlap,4,T7_meta_destroying,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0142,159,R3,overlap,4,T7_meta_destroying,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0143,160,R1,nested,5,T2_dedup,relational,P8_composite,noncancelling,2,10,6,irreducible,True
case_0144,160,R1,nested,5,T2_dedup,relational,P8_composite,noncancelling,3,10,3,irreducible,True
case_0145,160,R1,nested,5,T2_dedup,relational,P8_composite,noncancelling,4,5,0,1,False
case_0146,161,R2,alternating,3,T2_dedup,relational,P1_result,noncancelling,2,3,0,1,False
case_0147,162,R1,overlap,4,T8_interacting,relational,P1_result,noncancelling,2,6,5,irreducible,True
case_0148,162,R1,overlap,4,T8_interacting,relational,P1_result,noncancelling,3,4,2,2,False
case_0149,164,R3,overlap,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,2,6,1,1,False
case_0150,164,R3,overlap,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0151,170,R4,overlap,4,T6_meta_preserving,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0152,170,R4,overlap,4,T6_meta_preserving,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0153,173,R2,overlap,4,T2_dedup,relational,P3_required,noncancelling,2,6,4,irreducible,True
case_0154,173,R2,overlap,4,T2_dedup,relational,P3_required,noncancelling,3,4,0,1,False
case_0155,174,R2,repeat,3,T6_meta_preserving,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0156,176,R3,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0157,176,R3,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0158,177,R4,same_value_diff_source,3,T2_dedup,relational,P3_required,noncancelling,2,3,3,1,False
case_0159,178,R2,overlap,4,T5_reference,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0160,178,R2,overlap,4,T5_reference,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0161,180,R1,overlap,4,T2_dedup,relational,P9_balance,cancelling,2,6,6,1,False
case_0162,180,R1,overlap,4,T2_dedup,relational,P9_balance,cancelling,3,4,4,1,False
case_0163,183,R3,overlap,4,T2_dedup,relational,P8_composite,noncancelling,2,6,4,irreducible,True
case_0164,183,R3,overlap,4,T2_dedup,relational,P8_composite,noncancelling,3,4,0,1,False
case_0165,185,R4,alternating,4,T5_reference,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0166,185,R4,alternating,4,T5_reference,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0167,186,R4,nested,5,T8_interacting,relational,P5_uncertainty,noncancelling,2,10,3,1,False
case_0168,186,R4,nested,5,T8_interacting,relational,P5_uncertainty,noncancelling,3,10,1,1,False
case_0169,186,R4,nested,5,T8_interacting,relational,P5_uncertainty,noncancelling,4,5,0,1,False
case_0170,187,R2,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0171,187,R2,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0172,191,R3,same_value_diff_source,3,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0173,193,R4,alternating,3,T3_normalize,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0174,194,R2,alternating,3,T2_dedup,relational,P9_balance,cancelling,2,3,3,1,False
case_0175,196,R1,overlap,4,T1_stopword,elementwise,P3_required,noncancelling,2,6,1,1,False
case_0176,196,R1,overlap,4,T1_stopword,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0177,198,R4,nested,5,T5_reference,elementwise,P9_balance,cancelling,2,10,6,1,False
case_0178,198,R4,nested,5,T5_reference,elementwise,P9_balance,cancelling,3,10,4,1,False
case_0179,198,R4,nested,5,T5_reference,elementwise,P9_balance,cancelling,4,5,1,1,False
case_0180,199,R4,same_value_diff_source,3,T2_dedup,relational,P4_provenance,noncancelling,2,3,1,1,False
case_0181,200,R3,same_value_diff_source,3,T8_interacting,relational,P2_len,noncancelling,2,3,3,1,False
case_0182,201,R4,repeat,4,T3_normalize,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0183,201,R4,repeat,4,T3_normalize,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0184,202,R4,repeat,3,T8_interacting,relational,P7_contradiction,noncancelling,2,3,2,irreducible,True
case_0185,207,R4,random,6,T5_reference,elementwise,P7_contradiction,noncancelling,2,15,0,1,False
case_0186,207,R4,random,6,T5_reference,elementwise,P7_contradiction,noncancelling,3,20,0,1,False
case_0187,207,R4,random,6,T5_reference,elementwise,P7_contradiction,noncancelling,4,15,0,1,False
case_0188,207,R4,random,6,T5_reference,elementwise,P7_contradiction,noncancelling,5,6,0,1,False
case_0189,208,R2,repeat,4,T1_stopword,elementwise,P7_contradiction,noncancelling,2,6,6,1,False
case_0190,208,R2,repeat,4,T1_stopword,elementwise,P7_contradiction,noncancelling,3,4,4,1,False
case_0191,209,R1,nested,5,T5_reference,elementwise,P7_contradiction,noncancelling,2,10,3,1,False
case_0192,209,R1,nested,5,T5_reference,elementwise,P7_contradiction,noncancelling,3,10,1,1,False
case_0193,209,R1,nested,5,T5_reference,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0194,210,R2,overlap,4,T4_context,relational,P2_len,noncancelling,2,6,4,irreducible,True
case_0195,210,R2,overlap,4,T4_context,relational,P2_len,noncancelling,3,4,0,1,False
case_0196,211,R4,overlap,4,T2_dedup,relational,P1_result,noncancelling,2,6,4,irreducible,True
case_0197,211,R4,overlap,4,T2_dedup,relational,P1_result,noncancelling,3,4,0,1,False
case_0198,212,R4,same_value_diff_source,3,T2_dedup,relational,P4_provenance,noncancelling,2,3,1,1,False
case_0199,215,R3,nested,5,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,2,10,0,1,False
case_0200,215,R3,nested,5,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,3,10,0,1,False
case_0201,215,R3,nested,5,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,4,5,0,1,False
case_0202,216,R3,nested,5,T4_context,relational,P7_contradiction,noncancelling,2,10,0,1,False
case_0203,216,R3,nested,5,T4_context,relational,P7_contradiction,noncancelling,3,10,0,1,False
case_0204,216,R3,nested,5,T4_context,relational,P7_contradiction,noncancelling,4,5,0,1,False
case_0205,217,R2,nested,5,T2_dedup,relational,P6_scope,noncancelling,2,10,6,irreducible,True
case_0206,217,R2,nested,5,T2_dedup,relational,P6_scope,noncancelling,3,10,3,irreducible,True
case_0207,217,R2,nested,5,T2_dedup,relational,P6_scope,noncancelling,4,5,0,1,False
case_0208,218,R2,nested,5,T3_normalize,elementwise,P1_result,noncancelling,2,10,0,1,False
case_0209,218,R2,nested,5,T3_normalize,elementwise,P1_result,noncancelling,3,10,0,1,False
case_0210,218,R2,nested,5,T3_normalize,elementwise,P1_result,noncancelling,4,5,0,1,False
case_0211,223,R2,overlap,4,T4_context,relational,P3_required,noncancelling,2,6,4,irreducible,True
case_0212,223,R2,overlap,4,T4_context,relational,P3_required,noncancelling,3,4,0,1,False
case_0213,224,R1,overlap,4,T5_reference,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0214,224,R1,overlap,4,T5_reference,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0215,228,R1,same_value_diff_source,3,T2_dedup,relational,P9_balance,cancelling,2,3,3,1,False
case_0216,229,R2,nested,5,T8_interacting,relational,P2_len,noncancelling,2,10,6,irreducible,True
case_0217,229,R2,nested,5,T8_interacting,relational,P2_len,noncancelling,3,10,3,irreducible,True
case_0218,229,R2,nested,5,T8_interacting,relational,P2_len,noncancelling,4,5,0,1,False
case_0219,230,R4,same_value_diff_source,3,T4_context,relational,P5_uncertainty,noncancelling,2,3,3,1,False
case_0220,231,R3,random,3,T5_reference,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0221,232,R3,nested,5,T3_normalize,elementwise,P5_uncertainty,noncancelling,2,10,0,1,False
case_0222,232,R3,nested,5,T3_normalize,elementwise,P5_uncertainty,noncancelling,3,10,0,1,False
case_0223,232,R3,nested,5,T3_normalize,elementwise,P5_uncertainty,noncancelling,4,5,0,1,False
case_0224,233,R3,same_value_diff_source,3,T8_interacting,relational,P2_len,noncancelling,2,3,3,1,False
case_0225,234,R4,overlap,4,T4_context,relational,P5_uncertainty,noncancelling,2,6,1,1,False
case_0226,234,R4,overlap,4,T4_context,relational,P5_uncertainty,noncancelling,3,4,0,1,False
case_0227,235,R3,alternating,5,T1_stopword,elementwise,P2_len,noncancelling,2,10,3,1,False
case_0228,235,R3,alternating,5,T1_stopword,elementwise,P2_len,noncancelling,3,10,1,1,False
case_0229,235,R3,alternating,5,T1_stopword,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0230,236,R3,random,3,T3_normalize,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0231,239,R4,overlap,4,T3_normalize,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0232,239,R4,overlap,4,T3_normalize,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0233,241,R1,overlap,4,T5_reference,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0234,241,R1,overlap,4,T5_reference,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0235,244,R3,overlap,4,T7_meta_destroying,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0236,244,R3,overlap,4,T7_meta_destroying,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0237,245,R1,overlap,4,T5_reference,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0238,245,R1,overlap,4,T5_reference,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0239,249,R2,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0240,249,R2,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0241,254,R3,same_value_diff_source,3,T4_context,relational,P5_uncertainty,noncancelling,2,3,3,1,False
case_0242,260,R2,repeat,3,T5_reference,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0243,267,R4,same_value_diff_source,3,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0244,272,R3,overlap,4,T4_context,relational,P5_uncertainty,noncancelling,2,6,4,irreducible,True
case_0245,272,R3,overlap,4,T4_context,relational,P5_uncertainty,noncancelling,3,4,0,1,False
case_0246,274,R3,same_value_diff_source,3,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0247,275,R3,nested,5,T4_context,relational,P7_contradiction,noncancelling,2,10,0,1,False
case_0248,275,R3,nested,5,T4_context,relational,P7_contradiction,noncancelling,3,10,0,1,False
case_0249,275,R3,nested,5,T4_context,relational,P7_contradiction,noncancelling,4,5,0,1,False
case_0250,276,R3,random,5,T2_dedup,relational,P7_contradiction,noncancelling,2,10,0,1,False
case_0251,276,R3,random,5,T2_dedup,relational,P7_contradiction,noncancelling,3,10,0,1,False
case_0252,276,R3,random,5,T2_dedup,relational,P7_contradiction,noncancelling,4,5,0,1,False
case_0253,279,R2,random,6,T6_meta_preserving,elementwise,P1_result,noncancelling,2,15,0,1,False
case_0254,279,R2,random,6,T6_meta_preserving,elementwise,P1_result,noncancelling,3,20,0,1,False
case_0255,279,R2,random,6,T6_meta_preserving,elementwise,P1_result,noncancelling,4,15,0,1,False
case_0256,279,R2,random,6,T6_meta_preserving,elementwise,P1_result,noncancelling,5,6,0,1,False
case_0257,282,R4,random,3,T7_meta_destroying,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0258,283,R1,same_value_diff_source,3,T1_stopword,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0259,284,R1,alternating,6,T1_stopword,elementwise,P1_result,noncancelling,2,15,0,1,False
case_0260,284,R1,alternating,6,T1_stopword,elementwise,P1_result,noncancelling,3,20,0,1,False
case_0261,284,R1,alternating,6,T1_stopword,elementwise,P1_result,noncancelling,4,15,0,1,False
case_0262,284,R1,alternating,6,T1_stopword,elementwise,P1_result,noncancelling,5,6,0,1,False
case_0263,287,R4,nested,5,T8_interacting,relational,P8_composite,noncancelling,2,10,6,1,False
case_0264,287,R4,nested,5,T8_interacting,relational,P8_composite,noncancelling,3,10,4,1,False
case_0265,287,R4,nested,5,T8_interacting,relational,P8_composite,noncancelling,4,5,1,1,False
case_0266,290,R2,same_value_diff_source,3,T6_meta_preserving,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0267,291,R3,random,3,T4_context,relational,P6_scope,noncancelling,2,3,0,1,False
case_0268,292,R2,same_value_diff_source,3,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0269,293,R2,alternating,5,T5_reference,elementwise,P4_provenance,noncancelling,2,10,0,1,False
case_0270,293,R2,alternating,5,T5_reference,elementwise,P4_provenance,noncancelling,3,10,0,1,False
case_0271,293,R2,alternating,5,T5_reference,elementwise,P4_provenance,noncancelling,4,5,0,1,False
case_0272,297,R3,same_value_diff_source,3,T5_reference,elementwise,P3_required,noncancelling,2,3,3,1,False
case_0273,301,R3,same_value_diff_source,3,T3_normalize,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0274,302,R1,nested,5,T2_dedup,relational,P1_result,noncancelling,2,10,6,irreducible,True
case_0275,302,R1,nested,5,T2_dedup,relational,P1_result,noncancelling,3,10,3,irreducible,True
case_0276,302,R1,nested,5,T2_dedup,relational,P1_result,noncancelling,4,5,0,1,False
case_0277,305,R3,nested,5,T4_context,relational,P1_result,noncancelling,2,10,0,1,False
case_0278,305,R3,nested,5,T4_context,relational,P1_result,noncancelling,3,10,0,1,False
