seq	bytes	mtime	ext	path	tier	canonical_source
M0018	22992	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-211200_cover-and-thomas-information-theory-parts-relevant-to-unresolved-questions.md	PRIMARY	M0018
M0019	13641	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-211600_inquiry-as-the-missing-top-level-entry-point.md	PRIMARY	M0019
M0020	21795	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-212100_the-central-research-question-stop-adding-concepts.md	PRIMARY	M0020
M0021	23795	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-212400_reading-the-book-as-a-knowledge-theory-not-a-summary-of-hindu-philosophy.md	PRIMARY	M0021
M0022	15292	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-212800_apply-the-extracted-definition-of-knowledge-to-the-gita-model.md	PRIMARY	M0022
M0023	16167	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-213400_the-book-does-not-present-a-formal-information-theory-in-the-shannon-sense.md	PRIMARY	M0023
M0024	19212	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-213500_plato-as-a-foundational-source-with-strict-source-vs-interpretation-separation.md	PRIMARY	M0024
M0025	8371	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-214400_audi-epistemology-as-first-book-in-the-epistemology-research-corpus.md	PRIMARY	M0025
M0026	17768	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-215000_book-highly-relevant-to-the-kernel-question-changes-direction-substantially.md	PRIMARY	M0026
M0027	16754	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-220800_targeted-research-corpus-to-close-remaining-theoretical-gaps.md	PRIMARY	M0027
M0028	12850	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-220800_white-plato-on-knowledge-and-reality-contribution-to-the-theory.md	PRIMARY	M0028
M0029	39716	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-221300_davidson-inquiries-into-truth-and-interpretation-against-the-identified-gaps.md	PRIMARY	M0029
M0030	47557	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-222111_prompt-kernel-reduction-and-minimality-experiment.md	PRIMARY	M0030
M0031	32349	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-222801_let-claude-finish-the-complete-primary-corpus-pass.md	PRIMARY	M0031
M0032	29943	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-223131_titelbaum-evidence-alone-does-not-determine-epistemic-state.md	PRIMARY	M0032
M0033	36443	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-225047_titelbaum-gap-analysis-knowledgeos-conflates-evidence-and-epistemic-state.md	PRIMARY	M0033
M0034	6580	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-225712_the-missing-derivation-observation-to-atomic-propositions-to-kt.md	PRIMARY	M0034
M0035	43828	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-231000_first-adjudication-of-knowledgeos-theory-against-the-kernel-experiment.md	PRIMARY	M0035
M0036	25707	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-233713_titelbaum-for-theory-discovery-explicit-epistemic-assessment-state.md	PRIMARY	M0036
M0037	29102	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-235201_minimality-is-representation-dependent-directive-and-restructure.md	PRIMARY	M0037
M0038	53277	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-001649_goswami-rao-measure-theory-candidate-knowledgeos-mathematical-stack.md	PRIMARY	M0038
M0039	53277	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-002611_goswami-rao-measure-theory-candidate-mathematical-stack-duplicate.md	DUPLICATE	M0038
M0040	26422	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-002701_knowledge-space-improved-definition-epistemic-observable.md	PRIMARY	M0040
M0041	21560	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-003227_separate-three-things-knowledge-space-observable-and-assessment.md	PRIMARY	M0041
M0042	38426	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-003827_knowledgeos-theory-integrated-formal-theory-v1-0.md	PRIMARY	M0042
M0043	48433	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-004631_knowledgeos-theory-v1-0-definitions-axioms-theorems-corollaries.md	PRIMARY	M0043
M0044	44717	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-004757_i-j-good-probability-and-the-weighing-of-evidence-seven-missing-elements.md	PRIMARY	M0044
M0045	26216	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-005904_real-breakthrough-good-provides-the-missing-bridge-truncated.md	PRIMARY	M0045
M0046	29612	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-082231_real-breakthrough-good-gives-the-missing-bridge-and-largest-remaining-hole.md	PRIMARY	M0046
M0047	33961	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-082333_knowledgeos-theory-v1-0-formal-theory-of-epistemic-gaps.md	PRIMARY	M0047
M0048	28490	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-085420_definitions-as-formal-specification-one-fundamental-inconsistency.md	PRIMARY	M0048
M0049	38688	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-085654_prompt-knowledgeos-theory-v1-1-simulation-experiment.md	PRIMARY	M0049
M0050	16197	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-091243_knowledgeos-theory-v1-2-corrections-against-steps-285-290.md	PRIMARY	M0050
M0051	42757	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-093546_satisfaction-by-requirement-class-three-valued-sat-predicate.md	PRIMARY	M0051
M0052	12087	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-095429_review-of-kr-sim-2026-09-02-d-satc-closure.md	PRIMARY	M0052
M0053	10680	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-092821_review-of-v1-2-sat-stays-candidate-until-factivity-is-repaired.md	PRIMARY	M0053
M0054	12736	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-101343_direct-answers-to-the-satc-closure-questions.md	PRIMARY	M0054
M0055	30914	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-102241_experiment-g-satc-evaluation-semantics-repair-and-closure-test.md	PRIMARY	M0055
M0056	7729	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-102324_kr-sim-2026-09-02-g-commissioning-notes.md	PRIMARY	M0056
M0057	54538	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-104619_zero-lens-vs-zero-closure-predicate-the-key-distinction-partial.md	PRIMARY	M0057
M0058	23007	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-105202_review-of-the-zero-document-non-collapse-and-the-boundary-problem.md	PRIMARY	M0058
M0059	77634	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-105245_zero-lens-vs-zero-closure-predicate-full.md	PRIMARY	M0059
M0060	24911	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-105324_knowledgeos-zero-concept-v1-2-rewritten-against-the-review.md	PRIMARY	M0060
M0061	23007	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-105444_review-of-the-zero-document-non-collapse-and-boundary-duplicate.md	DUPLICATE	M0058
M0062	17493	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-105954_state-of-research-and-next-steps-after-the-zero-concept.md	PRIMARY	M0062
M0063	54538	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-110900_kr-zero-2026-09-02-h-boundary-separation-experiment.md	DUPLICATE	M0057
M0064	11407	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-111500_copy-of-artifact-i-zero-lens-and-gita-candidates.md	PRIMARY	M0064
M0065	7123	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-112206_embodied-union-metaphor-for-zero-meskin-source-analysis.md	PRIMARY	M0065
M0066	7957	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-112712_negative-quantities-in-the-generative-zero-field.md	PRIMARY	M0066
M0067	13692	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-113028_critique-metaphor-is-legitimate-but-contains-category-errors.md	PRIMARY	M0067
M0068	11526	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-113936_knowledge-at-ideal-state-as-a-field-of-arguments.md	PRIMARY	M0068
M0069	13692	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-114002_critique-metaphor-legitimate-but-category-errors-duplicate.md	DUPLICATE	M0067
M0070	10895	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-114510_persons-as-epistemic-agents-in-the-generative-field.md	PRIMARY	M0070
M0071	18155	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-114824_valuable-mechanism-but-do-not-integrate-in-current-form.md	PRIMARY	M0071
M0072	10895	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-121158_persons-as-epistemic-agents-in-the-generative-field-duplicate.md	DUPLICATE	M0070
M0073	16235	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-122102_closure-event-as-a-state-transition-worth-simulating.md	PRIMARY	M0073
M0074	19157	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-122329_knowledge-as-generative-not-merely-representational.md	PRIMARY	M0074
M0075	13865	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-122345_emotions-and-concentration-as-epistemic-states.md	PRIMARY	M0075
M0076	17237	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-122625_knowledge-is-not-one-pole-a-two-pole-structure-for-kt.md	PRIMARY	M0076
M0077	17010	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-122338_what-eleven-experiments-established-a-synthesis.md	PRIMARY	M0077
M0078	20479	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-122934_kr-closure-2026-09-02-epistemic-closure-event-experiment.md	PRIMARY	M0078
M0079	9481	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-124324_epistemic-plurality-a-multi-agent-field-rather-than-two-poles.md	PRIMARY	M0079
M0080	4670	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-124335_agreement-on-closure-and-the-kernel-vs-history-question.md	PRIMARY	M0080
M0081	10517	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-124605_affective-states-in-a-three-proposer-one-field-configuration.md	PRIMARY	M0081
M0082	9888	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-124810_simulation-one-proposer-two-evaluation-fields.md	PRIMARY	M0082
M0083	10474	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-124934_simulation-three-proposers-two-evaluation-fields.md	PRIMARY	M0083
M0084	12471	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-125117_comparative-analysis-of-candidate-configuration-models.md	PRIMARY	M0084
M0085	16241	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-125443_critique-yoni-identified-with-kernel-too-early-four-conflations.md	PRIMARY	M0085
M0086	13279	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-125732_yoni-lens-as-a-field-lens-not-a-new-kernel.md	PRIMARY	M0086
M0087	18939	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-130042_yoni-lens-theory-specification-and-integration.md	PRIMARY	M0087
M0088	24997	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-130146_yoni-zero-lens-the-complete-epistemic-cycle.md	PRIMARY	M0088
M0089	24997	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-130334_experiment-yoni-zero-lens-complete-epistemic-cycle-duplicate.md	DUPLICATE	M0088
M0090	11524	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-130957_linga-as-kernel-yoni-as-transformation-field-a-sharper-formulation.md	PRIMARY	M0090
M0091	8227	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-131232_qualified-agreement-and-the-correction-to-the-linga-kernel-reading.md	PRIMARY	M0091
M0092	7835	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-131749_hpa-supervisory-ruling-linga-yoni-complete-research-framework.md	PRIMARY	M0092
M0093	7343	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-132549_gita-supplies-the-dynamics-not-a-linga-yoni-epistemology.md	PRIMARY	M0093
M0094	10976	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-132751_three-derivations-polarity-factorization-bilinear-interaction.md	PRIMARY	M0094
M0095	16820	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-132958_lingas-millions-four-claims-rejected-one-structure-retained.md	PRIMARY	M0095
M0096	16820	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-133035_lingas-millions-four-claims-rejected-duplicate.md	DUPLICATE	M0095
M0097	29768	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-133231_kr-m2o-candidate-multiplicity-selection-validation-determination.md	PRIMARY	M0097
M0098	16161	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-134056_restructuring-proposal-and-a-terminology-correction.md	PRIMARY	M0098
M0099	11415	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-134255_hpa-final-ruling-structure-first-framework-research-path.md	PRIMARY	M0099
M0100	13255	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-135228_agreement-with-structure-first-and-invariant-custody.md	PRIMARY	M0100
M0101	11570	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-135445_review-of-kr-neff-be-careful-with-n-eff-is-real.md	PRIMARY	M0101
M0102	13410	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-140058_genuine-breakthrough-but-not-yet-a-final-theory.md	PRIMARY	M0102
M0103	10099	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-140530_theory-level-review-of-kr-dist-a-strong-negative-result.md	PRIMARY	M0103
M0104	11167	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-142233_fr-001-approved-as-a-research-result-freeze-not-a-theory-decision.md	PRIMARY	M0104
M0105	7594	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-142251_this-strengthens-the-structure-first-hypothesis.md	PRIMARY	M0105
M0106	16873	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-142901_copy-of-the-frozen-model-reference-duplicate.md	PRIMARY	M0106
M0107	29807	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-142944_kr-hilbert-2026-09-research-and-experiment-protocol.md	PRIMARY	M0107
M0108	14389	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-142534_hilbert-space-in-knowledgeos-integration-assessment.md	PRIMARY	M0108
M0109	24039	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-143500_knowledgeos-complete-todo-register-revised.md	PRIMARY	M0109
M0110	15842	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-150900_agreement-with-the-todo-register-and-queue.md	PRIMARY	M0110
M0111	39545	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-150331_the-development-of-the-model-how-it-was-built-what-changed.md	PRIMARY	M0111
M0112	17524	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-142217_the-frozen-model-what-is-settled-and-where-the-artifacts-are.md	PRIMARY	M0112
M0113	28747	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-155902_knowledgeos-complete-todo-register-revised-approved.md	PRIMARY	M0113
M0114	38770	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-155900_prompt-minimum-machinery-to-represent-contradiction.md	PRIMARY	M0114
M0115	6540	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-155901_hpa-final-ruling-hilbert-space-decision-recorded.md	PRIMARY	M0115
M0116	26258	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-155903_transcript-now-perform-the-contr-experiment.md	PRIMARY	M0116
M0117	34910	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-132000_proposed-optimized-model-structures-first-projections-derived.md	PRIMARY	M0117
M0118	9722	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-160600_revised-reading-strategy-for-current-bottleneck.md	PRIMARY	M0118
M0119	40371	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-160601_priest-non-classical-logic-tools-for-contr-zero-identity.md	PRIMARY	M0119
M0120	27066	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-161500_review-of-w-kr-contr-accept-with-minor-formal-corrections.md	PRIMARY	M0120
M0121	20184	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-162001_experiment-changes-how-to-read-the-priest-fde-extraction.md	PRIMARY	M0121
M0122	40371	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-162000_priest-non-classical-logic-extraction-second-copy.md	DUPLICATE	M0119
M0123	5367	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-162002_we-can-implement-the-proposed-fde-mapping.md	PRIMARY	M0123
M0124	21771	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-163000_factorized-evaluation-model-not-an-fde-state-model.md	PRIMARY	M0124
M0125	28554	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175304_knowledgeos-complete-knowledge-transfer-for-next-session.md	PRIMARY	M0125
M0126	29568	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175305_knowledgeos-complete-knowledge-transfer-variant.md	PRIMARY	M0126
M0127	31016	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175306_kr-contr-fde-2026-09-external-writeup.md	PRIMARY	M0127
M0128	23695	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175309_rice-force-of-logic-legal-argument-through-the-knowledgeos-lens.md	PRIMARY	M0128
M0129	10592	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175308_todo-landscape-after-the-current-adjudicated-state.md	PRIMARY	M0129
M0130	23346	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175310_shapiro-varieties-of-logic-extraction.md	PRIMARY	M0130
M0131	13022	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175307_theory-v11-to-v12-reconciliation-strategy.md	PRIMARY	M0131
M0132	16116	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175303_gap-theory-v1-critical-assessment-and-integration-strategy.md	PRIMARY	M0132
M0133	16156	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175300_extraction-ziem-frames-of-understanding-in-text-and-discourse.md	PRIMARY	M0133
M0134	16156	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175301_extraction-ziem-frames-of-understanding-duplicate.md	DUPLICATE	M0133
M0135	21268	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-155427_the-research-model-and-the-optimized-model.md	PRIMARY	M0135
M0136	21112	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-175302_extraction-brachman-levesque-knowledge-representation-reasoning.md	PRIMARY	M0136
M0137	21788	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-170000_the-research-decision-and-optimized-model.md	PRIMARY	M0137
M0138	23581	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180019_review-document-much-more-useful.md	PRIMARY	M0138
M0139	17979	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180009_kr-krr-2026-09-knowledge-representation-reasoning.md	PRIMARY	M0139
M0140	35181	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180023_review-krr-extraction.md	PRIMARY	M0140
M0141	22636	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180005_extraction-description-logic-handbook.md	PRIMARY	M0141
M0142	23148	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180011_review-yes1.md	PRIMARY	M0142
M0143	28441	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180008_kr-dl-2026-09-description-logic-integration.md	PRIMARY	M0143
M0144	23148	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180017_review-description-logic-handbook.md	DUPLICATE	M0142
M0145	26568	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180014_review-reiter-knowledge-in-action.md	PRIMARY	M0145
M0146	25699	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180022_final-derivation-knowledgeos-dynamics.md	PRIMARY	M0146
