seq	status	primary	maturity	importance	path	lineage
0014	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Lifecycle_Gap_Analysis.md	c1
0015	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Independent_Review_Phase_B.md	c1
0016	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_Governed_Retrieval_Positioning_Validation.md	c1
0017	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_External_Positioning_Comparison_Matrix.md	c1
0018	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	critical	docs/knowledgeos/KnowledgeOS_Engineering_Progression_Model.md	c1
0019	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Engineering_Knowledge_Landscape.md	c1
0020	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Engineering_Knowledge_Domain_Model.md	c1
0021	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	low	docs/knowledgeos/KnowledgeOS_Engineering_Improvement_Cycle.md	c1
0022	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	low	docs/knowledgeos/KnowledgeOS_Engineering_Decision_Model_Validation.md	c1
0023	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_Engineering_Decision_Model_Discovery.md	c1
0024	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	high	docs/knowledgeos/KnowledgeOS_Domain_Model_Falsification_Report.md	c1
0025	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	low	docs/knowledgeos/KnowledgeOS_Deferred_Architecture_Register.md	c1
0026	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_Relationship_Validation_Matrix.md	c1
0027	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Relationship_Ontology.md	c1
0028	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	hypothetical	low	docs/knowledgeos/KnowledgeOS_Recommendation_Lifecycle_Discovery.md	c1
0029	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	low	docs/knowledgeos/KnowledgeOS_Platform_Discovery_Coverage_Map.md	c1
0030	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_Platform_Capability_Model.md	c1
0031	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	low	docs/knowledgeos/KnowledgeOS_Phase_B_Evidence_Reconciliation.md	c1
0032	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	low	docs/knowledgeos/KnowledgeOS_Operational_Validation_Report.md	c1
0033	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	high	docs/knowledgeos/KnowledgeOS_Operational_Knowledge_Principles.md	c1
0034	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_Operational_Evidence_Register.md	c1
0035	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Ontology_Discovery.md	c1
0036	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	high	docs/knowledgeos/KnowledgeOS_Ontology_Cross_Product_Validation.md	c1
0037	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	high	docs/knowledgeos/KnowledgeOS_Ontology_Architecture_Classification.md	c1
0038	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	critical	docs/knowledgeos/KnowledgeOS_Mission_Discovery.md	c1
0039	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	established	high	docs/knowledgeos/KnowledgeOS_Meta_Model_Discovery.md	c1
0040	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/README.md	-
0041	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/OKF_KnowledgeOS_Architecture_Synthesis.md	-
0042	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/KnowledgeOS_Vision_Mission_Clarification.md	-
0043	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/KnowledgeOS_Viewpoint_Ownership_Discovery.md	-
0044	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/KnowledgeOS_Strategic_Architecture_Discovery.md	-
0045	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/KnowledgeOS_Semantic_Architecture_Reconciliation.md	-
0046	EXCLUDED	OUT_OF_SCOPE_ROOT	-	-	docs/knowledgeos/KnowledgeOS_Research_Backlog.md	-
0047	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260819-104748-ai-engineering-lifecycle-five-responsibilities-governance.md	PRIMARY
0048	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/_misc/20260821-150830-diagram.png	PRIMARY
0049	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260816-204714-track2-eks-semantic-discovery.md	PRIMARY
0050	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260817-145153-ai-engineering-platform-6-role-model.md	PRIMARY
0051	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260818-213516-lcom4-multi-language-binding.md	PRIMARY
0052	DONE	meta_research	established	high	docs/knowledgeos/brainstorming/20260819-092449-research-on-role-separation.md	PRIMARY
0053	DONE	engineering_knowledgeos	undefined	low	docs/knowledgeos/brainstorming/20260819-104802-delegation-map-domain-owners.md	PRIMARY
0054	DONE	engineering_knowledgeos	undefined	low	docs/knowledgeos/brainstorming/20260819-104804-voting-election-outcome-refinement.md	PRIMARY
0055	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260819-104823-four-session-role-model-refinement.md	PRIMARY
0056	DONE	not_applicable_product_content	undefined	low	docs/knowledgeos/brainstorming/20260819-104830-election-only-mode-readiness.md	PRIMARY
0057	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260819-204018-kos-product-architecture-v2.md	PRIMARY
0058	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260819-204431-kos-ddd-architecture-review-v3.md	PRIMARY
0059	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260819-205541-kos-ddd-architecture-v3-duplicate.md	PRIMARY
0060	DONE	meta_research	developing	high	docs/knowledgeos/brainstorming/20260819-205757-ddd-correction-verification-verdict.md	PRIMARY
0061	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260819-220806-kos-3-0-state-durability-ddd-boundary.md	PRIMARY
0062	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260819-220924-spring-di-principle-for-kos.md	PRIMARY
0063	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260820-115444-poa-vs-ddd-decision-hierarchy.md	PRIMARY
0064	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260820-123902-kos-design-patterns.md	PRIMARY
0065	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260820-231930-event-driven-architecture-refinement.md	PRIMARY
0066	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260821-120633-kos-state-durability-assurance-integration.md	PRIMARY
0067	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260821-120810-kos-governance-role-cost-optimization.md	PRIMARY
0068	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/20260821-121929-business-translator-capability.md	PRIMARY
0069	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260821-142748-event-driven-domain-loop-positioning.md	PRIMARY
0070	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/_misc/20260819-221159-digitalization-robot-vision.md	PRIMARY
0071	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/_misc/20260819-224159-linux-analogy-kernel-os-model.md	PRIMARY
0072	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/_misc/20260819-225329-ip-protection-secrecy-strategy.md	PRIMARY
0073	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/_misc/20260819-225332-kos-ipo-stock-market-variant.md	PRIMARY
0074	DONE	engineering_knowledgeos	developing	low	docs/knowledgeos/brainstorming/_misc/20260819-225858-kos-ipo-stock-market-path.md	PRIMARY
0075	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260821-2032-how-to-change-eks-into-knowledgeos-kernel.md	PRIMARY
0076	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260821-2033-what-eks-is-today.md	PRIMARY
0077	DONE	engineering_knowledgeos	developing	high	docs/knowledgeos/brainstorming/20260801-1231-eks-current-architecture-baseline.md	PRIMARY
0078	DONE	engineering_knowledgeos	developing	medium	docs/knowledgeos/brainstorming/20260821-2108-how-to-integrate-current-eks-into-knowledgeos-kernel.md	PRIMARY
0079	DONE	engineering_knowledgeos	developing	critical	docs/knowledgeos/brainstorming/20260821-2325-complex-numbers-in-knowledgeos-modeling-tool.md	PRIMARY
0080	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260821-2351-independent-external-research-review-organizational-knowledge-systems.md	PRIMARY
0081	DONE	engineering_knowledgeos	developing	critical	docs/knowledgeos/brainstorming/_misc/20260821-2353-deepseek-investigation-eks-pks-aip-current-architecture.md	PRIMARY
0082	DONE	mathematics	developing	critical	docs/knowledgeos/brainstorming/20260822-0021-mathematical-models-for-knowledgeos-where-mathematics-belongs.md	PRIMARY
0083	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0113-research-review-expression-meaning-invariance.md	PRIMARY
0084	DONE	meta_research	developing	critical	docs/knowledgeos/brainstorming/20260822-0121-knowledgeos-zero-concept-research-extraction-prompt.md	PRIMARY
0085	DONE	meta_research	developing	critical	docs/knowledgeos/brainstorming/20260822-0123-knowledgeos-consolidation-review-kernel-boundary-filter.md	PRIMARY
0086	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0135-knowledgeos-conceptual-foundation-relationship-invariant-preservation.md	PRIMARY
0087	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0146-knowledgeos-epistemic-pipeline-veda-vedanta-analysis.md	PRIMARY
0088	DONE	mathematics	developing	critical	docs/knowledgeos/brainstorming/20260822-0159-epistemic-operating-system-research-foundations.md	PRIMARY
0089	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0200-knowledgeos-vs-epistemic-os-layer-separation-review.md	PRIMARY
0090	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0203-truth-seeking-machine-knowledgeos-core-question-refinement.md	PRIMARY
0091	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0207-knowledgeos-character-definition-strategic-synthesis.md	PRIMARY
0092	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-0218-tarka-shastra-nyaya-epistemology-research-extraction.md	PRIMARY
0093	DONE	cross_model	developing	high	docs/knowledgeos/brainstorming/20260822-0222-knowledgeos-reasoning-character-after-tarka-analysis.md	PRIMARY
0094	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-0225-knowledgeos-extraction-navya-nyaya-relations-context.md	PRIMARY
0095	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-0232-knowledgeos-extraction-tarka-nyaya-reasoning-lifecycle.md	PRIMARY
0096	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-0234-knowledgeos-vyapti-inference-warranting-relation-layer.md	PRIMARY
0097	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-0239-knowledgeos-pramana-registry-nyaya-sutra-extraction.md	PRIMARY
0098	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-0241-knowledgeos-semantic-kernel-matilal-word-and-world.md	PRIMARY
0099	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-0243-knowledgeos-hetvabhasa-reasoning-anti-corruption-layer.md	PRIMARY
0100	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-0249-knowledgeos-tarka-sangraha-ontology-pramana-reasoning.md	PRIMARY
0101	DONE	gita	developing	medium	docs/knowledgeos/brainstorming/20260822-0252-knowledgeos-keith-indian-logic-atomism-ontology-epistemology.md	PRIMARY
0102	DONE	cross_model	developing	medium	docs/knowledgeos/brainstorming/20260822-0254-knowledgeos-chakra-architecture-transformation-pipeline.md	PRIMARY
0103	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-0257-knowledgeos-cognitive-epistemology-architecture-yoga-sutra.md	PRIMARY
0104	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-0258-knowledgeos-abhava-absence-structured-knowledge-lens.md	PRIMARY
0105	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-0302-knowledgeos-final-character-synthesis.md	PRIMARY
0106	DONE	meta_research	developing	high	docs/knowledgeos/brainstorming/20260822-0915-knowledgeos-p4-constitutional-invariant-map-launch-prompt.md	PRIMARY
0107	DONE	gita	developing	low	docs/knowledgeos/brainstorming/20260822-101651-sakta-tantra-woodroffe-lens-extraction-duplicate.md	PRIMARY
0108	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-101729-kashmiri-shaivism-prakasa-vimarsa-lens.md	PRIMARY
0109	DONE	gita	developing	low	docs/knowledgeos/brainstorming/20260822-101842-sakta-tantra-woodroffe-lens-extraction.md	PRIMARY
0110	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-103624-aip-s5-review-lane-instruction-vedic-zero-lens.md	PRIMARY
0111	DONE	cross_model	developing	critical	docs/knowledgeos/brainstorming/20260822-105719-quranic-epistemology-lens-al-haqq-isnad.md	PRIMARY
0112	DONE	cross_model	developing	high	docs/knowledgeos/brainstorming/20260822-105921-negative-epistemology-what-knowledgeos-is-not.md	PRIMARY
0113	DONE	cross_model	developing	high	docs/knowledgeos/brainstorming/20260822-110210-biblical-explanation-architecture-lens.md	PRIMARY
0114	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260822-110850-moksha-lens-state-transformation-of-knower.md	PRIMARY
0115	DONE	gita	developing	medium	docs/knowledgeos/brainstorming/20260822-111434-shiva-shakti-unity-through-manifestation-convergence.md	PRIMARY
0116	DONE	cross_model	developing	medium	docs/knowledgeos/brainstorming/20260822-111626-leonardo-contextual-completeness-lens.md	PRIMARY
0117	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-112442-bala-ganesha-wisdom-engine-lens.md	PRIMARY
0118	DONE	cross_model	developing	medium	docs/knowledgeos/brainstorming/20260822-112804-knowledgeos-consolidation-review-character-synthesis.md	PRIMARY
0119	DONE	gita	developing	medium	docs/knowledgeos/brainstorming/20260822-113910-ganesha-wisdom-integration-layer-review.md	PRIMARY
0120	DONE	cross_model	developing	high	docs/knowledgeos/brainstorming/20260822-114551-wisdom-transformation-epistemic-humility-research-extraction.md	PRIMARY
0121	DONE	gita	developing	low	docs/knowledgeos/brainstorming/20260822-114753-ganesha-wisdom-architecture-core-components.md	PRIMARY
0122	DONE	mathematics	developing	critical	docs/knowledgeos/brainstorming/20260822-115144-godel-truth-provability-boundary-lens.md	PRIMARY
0123	DONE	mathematics	developing	high	docs/knowledgeos/brainstorming/20260822-115830-godel-numbering-knowledge-identity-numbers-reflection.md	PRIMARY
0124	DONE	mathematics	developing	high	docs/knowledgeos/brainstorming/20260822-120635-math-music-hofstadter-fourier-harmonics-of-meaning.md	PRIMARY
0125	DONE	mathematics	developing	medium	docs/knowledgeos/brainstorming/20260822-120638-knowledgeos-math-music-lens-extraction-harmonic-knowledge.md	PRIMARY
0126	DONE	mathematics	developing	critical	docs/knowledgeos/brainstorming/20260822-122523-godel-not-architecture-formal-justification-boundaries.md	PRIMARY
0127	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-122537-logic-in-classical-indian-philosophy-review-nyaya-trirupa.md	PRIMARY
0128	DONE	gita	foundational	medium	docs/knowledgeos/brainstorming/20260822-122927-logic-in-classical-indian-philosophy-sep-source.md	PRIMARY
0129	DONE	c1	developing	medium	docs/knowledgeos/brainstorming/20260822-122930-escher-invariant-transformation-lens.md	PRIMARY
0130	DONE	gita	developing	high	docs/knowledgeos/brainstorming/20260822-125015-vedic-sanskrit-grammar-v2-word-order-semantic-normal-form.md	PRIMARY
0131	DONE	gita	developing	medium	docs/knowledgeos/brainstorming/20260822-125831-sanskrit-inspired-semantic-language-artha-research-extraction.md	PRIMARY
0132	DONE	gita	stable	low	docs/knowledgeos/brainstorming/20260822-124229-sanskrit-grammar-v1-dhatu-transformation-lens.md	PRIMARY
0133	DONE	c1	stable	low	docs/knowledgeos/brainstorming/20260822-135214-po-arb-acceptance-decision-support-option-1-recommendation.md	PRIMARY
0134	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260822-140426-research-phase-closure-ddd-refinement-review-prompt.md	PRIMARY
0135	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260822-140622-paninian-grammar-compiler-architecture-parallel.md	PRIMARY
0136	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260822-140939-knowledgeos-semantic-compiler-architecture-research-extraction.md	PRIMARY
0137	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/20260822-141513-semantic-compiler-cpu-prototype-benchmark-first-run.md	PRIMARY
0138	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260822-143217-benchmark-verification-reinterpreted-knowledgeos-v1-1-layers.md	PRIMARY
0139	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260822-143421-semantic-compiler-kernel-boundary-refinement-kos-ev.md	PRIMARY
0140	DONE	c1	developing	medium	docs/knowledgeos/brainstorming/20260822-143844-next-steps-architecture-first-then-semantic-compiler-experiment.md	PRIMARY
0141	DONE	m	developing	critical	docs/knowledgeos/brainstorming/20260822-154923-snf-measurement-framework-mathematical-review.md	PRIMARY
0142	DONE	m	developing	critical	docs/knowledgeos/brainstorming/kernel/20260822-161933-snf-formula-research-review-and-measurement-framework.md	PRIMARY
0143	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260823-103255-candidate-set-architecture-ah6-interpretation-execution-separation.md	PRIMARY
0144	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/20260823-103606-kernel-eight-capacities-k1-k8-and-minimum-kernel.md	PRIMARY
0145	DONE	c1	developing	high	docs/knowledgeos/brainstorming/20260823-104148-constitutional-knowledge-engine-six-pillars-and-state-machine.md	PRIMARY
0146	DONE	c1	developing	medium	docs/knowledgeos/brainstorming/20260823-104251-constitutional-dsl-intent-vocabulary-and-evidence-weighting-model.md	PRIMARY
0147	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/20260823-105200-ddd-interrogation-intent-vs-command-and-evidence-weighting-red-flag.md	PRIMARY
0148	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-110248-kernel-ddd-critical-review-god-object-conflations.md	PRIMARY
0149	DONE	c1	stable	low	docs/knowledgeos/brainstorming/kernel/20260823-110305-f1-f5-closes-domain-discovery-gap-duplicate.md	PRIMARY
0150	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-110950-kernel-domain-level-brainstorming-admission-hypotheses.md	PRIMARY
0151	DONE	c1	developing	high	docs/knowledgeos/brainstorming/kernel/20260823-111647-epistemic-lifecycle-domain-discovery-admission-as-first-transition.md	PRIMARY
0152	DONE	c1	developing	high	docs/knowledgeos/brainstorming/kernel/20260823-112155-perplexity-kernel-domain-responsibility-brainstorming.md	PRIMARY
0153	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-112855-kimi-kernel-epistemic-accountability-core-ganesha-shiva-shakti.md	PRIMARY
0154	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-113410-perplexity-smallest-consistency-boundary-investigation.md	PRIMARY
0155	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-113645-deepseek-consistency-boundary-domain-discovery.md	PRIMARY
0156	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-114358-deepseek-kernel-twelve-fundamental-questions.md	PRIMARY
0157	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/kernel/20260823-114530-aggregate-hypothesis-falsification-atomicity-vs-relatedness.md	PRIMARY
0158	DONE	c1	developing	high	docs/knowledgeos/brainstorming/kernel/20260823-123619-kernel-domain-discovery-twelve-questions-across-all-lenses.md	PRIMARY
0159	DONE	c1	developing	high	docs/knowledgeos/brainstorming/kernel/20260823-123630-kernel-brainstorming-phase-consolidated-summary.md	PRIMARY
0160	DONE	c1	developing	medium	docs/knowledgeos/brainstorming/20260823_1239_working_state.md	PRIMARY
0161	DONE	gita	developing	critical	docs/knowledgeos/brainstorming/20260823-205735-knowledgeos-lens-system-twenty-six-lenses-consolidated.md	PRIMARY
0162	DONE	m	developing	high	docs/knowledgeos/brainstorming/20260823-210001-topological-lens-boundaries-connectedness-and-failure-modes.md	PRIMARY
0163	DONE	c1	developing	critical	docs/knowledgeos/brainstorming/00_INDEX.md	PRIMARY
0164	DONE	c1	developing	medium	docs/knowledgeos/brainstorming/kernel/20260823-225038-knowledgeos-kernel-multi-lens-domain-discovery.md	PRIMARY
0165	DONE	gita	developing	high	docs/knowledgeos/brainstorming/kernel/20260823-225443-lens-system-read-through-ddd-separation-of-concerns.md	PRIMARY
0166	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-230117-chinese-philosophical-lenses-value-assessment-for-kernel-finding.md	-
0167	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-232146-adr-kos-kernel-001-kernel-scope-and-boundary-proposal.md	-
0168	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-232815-kimi-adversarial-stress-test-compared-with-deepseek-and-perplexity.md	-
0169	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-233040-research-commission-chinese-philosophical-lenses-for-knowledge-kernel.md	-
0170	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-234750-tarka-sangraha-nyaya-lens-nine-attack-families-for-kernel.md	-
0171	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-235306-williamson-knowledge-and-its-limits-extraction.md	-
0172	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260823-235825-audi-epistemology-three-kinds-of-grounding-extraction.md	-
0173	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-000400-shieber-external-epistemic-lens-knowledge-is-not-one-thing.md	-
0174	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-001005-critical-thinking-source-inquiry-and-question-primitive.md	-
0175	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-001108-knowledge-kernel-philosophical-lenses-integration-chinese-tarka-audi.md	-
0176	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-001634-decision-power-model-aims-information-evaluation-decision.md	-
0177	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-002008-nyaya-sutra-lenses-critical-extraction.md	-
0178	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-002503-quine-word-and-object-stress-test-of-multi-lens-method.md	-
0179	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-002740-tractatus-logico-philosophicus-lenses-for-kernel.md	-
0180	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-003307-managing-memory-for-ai-agents-agent-memory-is-not-knowledgeos.md	-
0181	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-004125-managing-memory-for-ai-agents-agent-memory-is-not-knowledgeos-duplicate.md	-
0182	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-004343-review-of-deepseek-tractatus-extraction-entity-claim-status-distinction.md	-
0183	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-005129-inquiry-and-question-layer-refinement.md	-
0184	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-005427-cavell-must-we-mean-what-we-say-knowing-versus-acknowledging.md	-
0185	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-005813-davidson-lens-interpretation-must-not-become-admission-reaktion-2.md	-
0186	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-005850-davidson-lens-truth-interpretation-and-epistemic-accountability.md	-
0187	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-010352-brainstorming-phase-closure-recommendation-and-synthesis-dossier.md	-
0188	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-010419-knowledgeos-multi-lens-brainstorming-synthesis-dossier.md	-
0189	PENDING	-	-	-	docs/knowledgeos/brainstorming/kernel/20260824-010504-knowledgeos-multi-lens-brainstorming-synthesis-dossier.docx	-
