test_id	test_class	test_method	phpunit_result	assertions	time_s	first_detail_line	structural_layer	structural_area	business_intent	business_invariant	lifecycle_state	capability	actor	authorization	entry_point	authoritative_decision_source	business_decision_ownership	fixture_assumptions	expected_behaviour	failure_classification	evidence	coverage_contribution	coverage_gap	legacy_observation	open_question
Tests\Architecture\ElectionStateMachineConsistencyTest::test_suspend_enum_case_exists	Tests\Architecture\ElectionStateMachineConsistencyTest	test_suspend_enum_case_exists	PASSED	1	0.029		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Architecture\ElectionStateMachineConsistencyTest::test_voting_active_pause_voting_has_been_removed	Tests\Architecture\ElectionStateMachineConsistencyTest	test_voting_active_pause_voting_has_been_removed	PASSED	1	4.084		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Architecture\Election\ElectionLifecycleStateConsistencyTest::test_lifecycle_engine_computes_counting_state_when_voting_window_has_ended	Tests\Architecture\Election\ElectionLifecycleStateConsistencyTest	test_lifecycle_engine_computes_counting_state_when_voting_window_has_ended	PASSED	1	4.150		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Architecture\Election\ElectionLifecycleStateConsistencyTest::test_lifecycle_engine_computes_voting_active_state_when_voting_window_is_open	Tests\Architecture\Election\ElectionLifecycleStateConsistencyTest	test_lifecycle_engine_computes_voting_active_state_when_voting_window_is_open	PASSED	1	0.034		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Architecture\Election\TenantContextIsolationTest::test_belongs_to_tenant_scope_reads_tenant_context_over_session_when_set	Tests\Architecture\Election\TenantContextIsolationTest	test_belongs_to_tenant_scope_reads_tenant_context_over_session_when_set	PASSED	2	0.065		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Architecture\Election\TenantContextIsolationTest::test_stale_tenant_context_explains_voting_test_failures	Tests\Architecture\Election\TenantContextIsolationTest	test_stale_tenant_context_explains_voting_test_failures	PASSED	2	0.052		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Architecture\Election\TenantContextIsolationTest::test_tenant_context_must_be_empty_at_start_of_each_test	Tests\Architecture\Election\TenantContextIsolationTest	test_tenant_context_must_be_empty_at_start_of_each_test	PASSED	1	0.029		Architecture (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::auto_submit_creates_single_system_audit_record	Tests\Feature\Election\CapacityApprovalTest	auto_submit_creates_single_system_audit_record	PASSED	4	0.051		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::can_import_voters_up_to_expected_count	Tests\Feature\Election\CapacityApprovalTest	can_import_voters_up_to_expected_count	PASSED	1	0.151		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::cannot_import_more_voters_than_expected_count	Tests\Feature\Election\CapacityApprovalTest	cannot_import_more_voters_than_expected_count	PASSED	2	0.162		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::election_with_expected_40_voters_auto_approves	Tests\Feature\Election\CapacityApprovalTest	election_with_expected_40_voters_auto_approves	PASSED	1	4.033		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::election_with_expected_41_voters_goes_to_pending_approval	Tests\Feature\Election\CapacityApprovalTest	election_with_expected_41_voters_goes_to_pending_approval	PASSED	1	0.073		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::manual_submit_creates_manual_audit_record	Tests\Feature\Election\CapacityApprovalTest	manual_submit_creates_manual_audit_record	PASSED	4	0.059		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::requires_approval_returns_false_when_at_limit	Tests\Feature\Election\CapacityApprovalTest	requires_approval_returns_false_when_at_limit	PASSED	1	0.045		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\CapacityApprovalTest::requires_approval_returns_true_when_over_limit	Tests\Feature\Election\CapacityApprovalTest	requires_approval_returns_true_when_over_limit	PASSED	1	0.046		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalParityIntegrationTest::test_closed_lifecycle_extraction_and_parity	Tests\Feature\Election\ConstitutionalParityIntegrationTest	test_closed_lifecycle_extraction_and_parity	ERROR	0	0.043	Illuminate\Database\Eloquent\ModelNotFoundException: No query results for model [App\Models\Election] a27c0b6d-f2aa-41ec-8c4a-2a8b1d507d93	Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	Mechanism not yet established	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalParityIntegrationTest::test_divergence_ledger_records_with_provenance	Tests\Feature\Election\ConstitutionalParityIntegrationTest	test_divergence_ledger_records_with_provenance	ERROR	0	0.046	Illuminate\Database\Eloquent\ModelNotFoundException: No query results for model [App\Models\Election] a27c0b6e-165c-417e-9573-315084ce4d8f	Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	Mechanism not yet established	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalParityIntegrationTest::test_happy_path_extraction_and_parity	Tests\Feature\Election\ConstitutionalParityIntegrationTest	test_happy_path_extraction_and_parity	ERROR	0	0.052	Illuminate\Database\Eloquent\ModelNotFoundException: No query results for model [App\Models\Election] a27c0b6d-cd44-457e-b453-16e99de3c9e3	Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	Mechanism not yet established	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalParityIntegrationTest::test_ip_restriction_extraction_and_parity	Tests\Feature\Election\ConstitutionalParityIntegrationTest	test_ip_restriction_extraction_and_parity	ERROR	0	0.045	Illuminate\Database\Eloquent\ModelNotFoundException: No query results for model [App\Models\Election] a27c0b6e-046b-4099-b55f-24d136042698	Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	Mechanism not yet established	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalParityIntegrationTest::test_suspension_overlay_extraction_and_parity	Tests\Feature\Election\ConstitutionalParityIntegrationTest	test_suspension_overlay_extraction_and_parity	ERROR	0	0.045	Illuminate\Database\Eloquent\ModelNotFoundException: No query results for model [App\Models\Election] a27c0b6d-e12c-404c-8bb6-c73d550bdb19	Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	Mechanism not yet established	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_agreement_allowed_during_ready_for_voting	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_agreement_allowed_during_ready_for_voting	PASSED	1	0.097		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_can_vote_when_voting_active	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_can_vote_when_voting_active	PASSED	1	0.062		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_cannot_vote_after_election_closed	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_cannot_vote_after_election_closed	PASSED	1	0.060		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_cannot_vote_during_nomination_phase	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_cannot_vote_during_nomination_phase	PASSED	2	0.063		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_cannot_vote_during_setup_administration	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_cannot_vote_during_setup_administration	PASSED	2	0.092		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_cannot_vote_during_suspended_overlay	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_cannot_vote_during_suspended_overlay	PASSED	1	0.074		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_code_creation_allowed_during_setup	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_code_creation_allowed_during_setup	PASSED	1	0.062		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_direct_post_to_vote_store_blocked_when_not_voting_active	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_direct_post_to_vote_store_blocked_when_not_voting_active	PASSED	2	0.060		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
Tests\Feature\Election\ConstitutionalVotingProtectionTest::test_direct_route_to_elections_show_blocked_when_not_voting_active	Tests\Feature\Election\ConstitutionalVotingProtectionTest	test_direct_route_to_elections_show_blocked_when_not_voting_active	PASSED	1	0.117		Feature/HTTP (structural)	Election — general	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	Unknown	NOT_ESTABLISHED	NOT_ESTABLISHED	n/a — passed	PHPUnit JUnit run 2026-08-12 (L1 only)	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
