symbol	n_docs	birth_doc	birth_order_key	birth_step	birth_mtime	birth_lane	mtime_first_doc	mtime_first_mtime	order_disagrees	birth_path
R	423	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00307	2026-08-25T21:58	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
Observation	422	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
Decision	399	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
K_t+1	394	Q00500	1|00005 	005	2026-08-27T14:23	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142333_step-005-what-is-the-mathematical-object-being-aggregated.md
S	385	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
T	381	Q00505	1|00011 	011	2026-08-27T15:24	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-152413_step-011-uncertainty-propagation-and-derived-knowledge.md
Zero	356	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00359	2026-08-26T10:51	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
x	345	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
State	343	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
state	334	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
Context	333	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
B	332	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00312	2026-08-25T22:29	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
O	330	Q00503	1|00008 	008	2026-08-27T15:19	phase_measure_theory	Q00314	2026-08-25T22:49	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-151920_step-008-epistemic-acceptance-and-commitment.md
Action	325	Q00510	1|00014 	014	2026-08-27T15:52	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155259_step-014-causality-dependency-and-counterfactual-reasoning.md
I	324	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
Q	321	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
X	306	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
Unknown	295	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00324	2026-08-25T23:39	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
H	286	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00309	2026-08-25T22:09	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
f	283	Q00508	1|00010 	010	2026-08-27T15:37	phase_measure_theory	Q00323	2026-08-25T23:38	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153750_step-010-inference-and-derivation.md
Provenance	258	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
V	223	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00326	2026-08-25T23:45	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
K_1	221	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
What	214	Q00510	1|00014 	014	2026-08-27T15:52	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155259_step-014-causality-dependency-and-counterfactual-reasoning.md
Truth	208	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
p	207	Q00512	1|00016 	016	2026-08-27T16:00	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-160001_step-016-temporal-knowledge-events-state-evolution-and-knowledge-versioning.md
Determination	206	Q00699	1|00155a	155a	2026-08-28T13:44	phase_measure_theory	Q00325	2026-08-25T23:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-134443_step-155a-knowledgeos-epistemic-and-provenance-kernel-review.md
M	204	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
K_2	197	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
Epistemic	196	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
Policy	195	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00320	2026-08-25T23:31	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
F	193	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
Governance	186	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00440	2026-08-26T18:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
c	186	Q00500	1|00005 	005	2026-08-27T14:23	phase_measure_theory	Q00307	2026-08-25T21:58	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142333_step-005-what-is-the-mathematical-object-being-aggregated.md
s	179	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
G	178	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00334	2026-08-26T00:02	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
E_t	178	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
S_t	171	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00307	2026-08-25T21:58	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
d	171	Q00507	1|00013 	013	2026-08-27T15:37	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153702_step-013-sufficiency-completeness-and-readiness-for-purpose.md
Authorization	161	Q00518	1|00021 	021	2026-08-27T16:14	phase_measure_theory	Q00437	2026-08-26T18:40	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-161423_step-021-goals-intentions-decisions-actions-utility-risk-constraints-and-outcomes.md
Assessment	155	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00313	2026-08-25T22:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
Identity	154	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
Time	153	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00319	2026-08-25T23:16	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
D_t	153	Q00519	1|00022 	022	2026-08-27T16:18	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-161800_step-022-identity-lineage-provenance-causality-and-traceability.md
e	151	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
I_t	151	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00314	2026-08-25T22:49	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
C_t	151	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00328	2026-08-25T23:51	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
Conflict	150	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00349	2026-08-26T01:59	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
Kernel	146	Q00499	1|00004 	004	2026-08-27T14:22	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142250_step-004-the-evidence-aggregation-axioms.md
E_1	144	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
U	144	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
Version	143	Q00504	1|00009 	009	2026-08-27T15:20	phase_measure_theory	Q00353	2026-08-26T10:24	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-152002_step-009-contradiction-paraconsistency-and-belief-revision.md
Source	137	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00311	2026-08-25T22:23	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
Y	137	Q00505	1|00011 	011	2026-08-27T15:24	phase_measure_theory	Q00318	2026-08-25T23:10	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-152413_step-011-uncertainty-propagation-and-derived-knowledge.md
Representation	137	Q00506	1|00012 	012	2026-08-27T15:34	phase_measure_theory	Q00311	2026-08-25T22:23	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153436_step-012-identity-entity-resolution-and-semantic-equivalence.md
r	136	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00313	2026-08-25T22:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
Uncertainty	133	Q00500	1|00005 	005	2026-08-27T14:23	phase_measure_theory	Q00318	2026-08-25T23:10	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142333_step-005-what-is-the-mathematical-object-being-aggregated.md
t_1	132	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
Nexus	126	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
O_t	125	Q00565	1|00031 	031	2026-08-28T10:22	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-102251_step-031-mathematical-formalization-and-consistency-audit-of-knowledgeos.md
E_2	124	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
Claim	124	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00317	2026-08-25T23:01	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
K_0	124	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00313	2026-08-25T22:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
R_t	124	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
system	121	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
array	121	Q00566	1|00032 	032	2026-08-28T10:23	phase_measure_theory	Q00334	2026-08-26T00:02	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-102341_step-032-epistemic-algebra-type-closure-composition-laws-and-state-transition-semantics.md
t_2	119	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
model	118	Q00500	1|00005 	005	2026-08-27T14:23	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142333_step-005-what-is-the-mathematical-object-being-aggregated.md
one	115	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
Outcome	115	Q00511	1|00015 	015	2026-08-27T15:56	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155652_step-015-decision-theory-and-action-selection.md
cases	114	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00326	2026-08-25T23:45	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
Observed	114	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00319	2026-08-25T23:16	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
Model	112	Q00510	1|00014 	014	2026-08-27T15:52	phase_measure_theory	Q00313	2026-08-25T22:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155259_step-014-causality-dependency-and-counterfactual-reasoning.md
History	111	Q00542	1|00025j	025j	2026-08-28T09:38	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-093812_step-025j-semantic-equivalence-refinement-contradiction-and-knowledge-merge.md
Scope	110	Q00517	1|00020 	020	2026-08-27T16:11	phase_measure_theory	Q00378	2026-08-26T12:24	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-161157_step-020-uncertainty-probability-ambiguity-incompleteness-conflict-and-confidence.md
L	109	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00313	2026-08-25T22:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
time	109	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
Candidate	108	Q00503	1|00008 	008	2026-08-27T15:19	phase_measure_theory	Q00312	2026-08-25T22:29	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-151920_step-008-epistemic-acceptance-and-commitment.md
PASS	107	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00533	2026-08-27T18:27	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
o	105	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00426	2026-08-26T17:51	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
Q_t	105	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00308	2026-08-25T22:05	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
Reality	105	Q00506	1|00012 	012	2026-08-27T15:34	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153436_step-012-identity-entity-resolution-and-semantic-equivalence.md
Transformation	103	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00368	2026-08-26T11:40	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
Knower	103	Q00541	1|00025i	025i	2026-08-28T09:37	phase_measure_theory	Q00363	2026-08-26T11:10	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-093700_step-025i-knowledge-identity-algebra.md
H_t	102	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00385	2026-08-26T14:28	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
y	101	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
Inference	100	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
Architecture	98	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00317	2026-08-25T23:01	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
NOT	98	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00359	2026-08-26T10:51	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
Probability	98	Q00499	1|00004 	004	2026-08-27T14:22	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142250_step-004-the-evidence-aggregation-axioms.md
Support	97	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00326	2026-08-25T23:45	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
G_t	97	Q00522	1|00025 	025	2026-08-27T16:26	phase_measure_theory	Q00400	2026-08-26T16:10	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-162652_step-025-executable-knowledgeos-reference-model-and-adversarial-simulation.md
EC	97	Q00529	1|00025a	025a	2026-08-27T18:18	phase_measure_theory	Q00529	2026-08-27T18:18		docs/knowledgeos/brainstorming/phase_measure_theory/20260827-181825_step-025a-4-executable-knowledge-state-model.md
Semantic	96	Q00497	1|00002 	002	2026-08-27T14:09	phase_measure_theory	Q00354	2026-08-26T10:32	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
Information	96	Q00499	1|00004 	004	2026-08-27T14:22	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142250_step-004-the-evidence-aggregation-axioms.md
Proposition	96	Q00500	1|00005 	005	2026-08-27T14:23	phase_measure_theory	Q00326	2026-08-25T23:45	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142333_step-005-what-is-the-mathematical-object-being-aggregated.md
Z	96	Q00510	1|00014 	014	2026-08-27T15:52	phase_measure_theory	Q00365	2026-08-26T11:21	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155259_step-014-causality-dependency-and-counterfactual-reasoning.md
Observe	96	Q00520	1|00024 	024	2026-08-27T16:23	phase_measure_theory	Q00367	2026-08-26T11:32	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-162331_step-024-formal-composition-consistency-invariants-and-closure-of-the-knowledgeos-model.md
all	95	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00317	2026-08-25T23:01	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
C_1	95	Q00499	1|00004 	004	2026-08-27T14:22	phase_measure_theory	Q00313	2026-08-25T22:44	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142250_step-004-the-evidence-aggregation-axioms.md
kernel	95	Q00505	1|00011 	011	2026-08-27T15:24	phase_measure_theory	Q00364	2026-08-26T11:17	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-152413_step-011-uncertainty-propagation-and-derived-knowledge.md
Invariant	95	Q00891	1|00025j	25j	2026-08-31T14:32	phase_measure_theory	Q00457	2026-08-27T09:02	YES	docs/knowledgeos/brainstorming/phase_measure_theory/external_research/20260831-143235_step_25j_complete-knowledgeos-transition-system.md
n	94	Q00508	1|00010 	010	2026-08-27T15:37	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153750_step-010-inference-and-derivation.md
Verification	93	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00416	2026-08-26T17:29	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
Validity	93	Q00498	1|00003 	003	2026-08-27T14:11	phase_measure_theory	Q00316	2026-08-25T22:59	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
Interpretation	93	Q00508	1|00010 	010	2026-08-27T15:37	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153750_step-010-inference-and-derivation.md
P_t	92	Q00526	1|00025a	025a	2026-08-27T18:13	phase_measure_theory	Q00327	2026-08-25T23:47	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-181325_step-025a-1-minimal-formal-state-and-type-system.md
Lord	91	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00363	2026-08-26T11:10	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
value	91	Q00511	1|00015 	015	2026-08-27T15:56	phase_measure_theory	Q00328	2026-08-25T23:51	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155652_step-015-decision-theory-and-action-selection.md
Domain	91	Q00547	1|00025o	025o	2026-08-28T09:42	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-094256_step-025o-truth-validity-belief-knowledge-and-epistemic-status.md
action	90	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00364	2026-08-26T11:17	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
cannot	90	Q00507	1|00013 	013	2026-08-27T15:37	phase_measure_theory	Q00363	2026-08-26T11:10	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153702_step-013-sufficiency-completeness-and-readiness-for-purpose.md
Determine	90	Q00535	1|00025c	025c	2026-08-27T18:29	phase_measure_theory	Q00365	2026-08-26T11:21	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-182955_step-025c-3-evidence-dependence-and-information-value.md
Dimension	90	Q00835	1|00252 	252	2026-08-30T18:41	phase_measure_theory	Q00343	2026-08-26T00:28	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260830-184148_step_252_ddd-ubiquitous-language-and-semantic-boundary-audit.md
